epoch,tr_loss,tr_acc,vl_loss,vl_acc,lr
1,0.4977,78.82,0.5802,71.67,0.000225
2,0.0774,97.79,0.0164,100.00,0.000075
3,0.0251,99.71,0.0269,99.17,0.000000
