epoch,tr_loss,tr_acc,vl_loss,vl_acc,lr
1,4.2593,5.01,3.6613,18.64,0.000225
2,3.6222,13.50,2.8296,34.10,0.000075
3,3.2117,20.09,2.5984,42.62,0.000000
