epoch,tr_loss,tr_acc,vl_loss,vl_acc,lr
1,1.8706,41.23,1.2761,38.33,0.000225
2,0.9326,65.87,0.4476,85.56,0.000075
3,0.6743,75.60,0.3957,88.33,0.000000
