epoch,tr_loss,tr_acc,vl_loss,vl_acc,lr
1,3.7695,5.78,3.2023,26.63,0.000225
2,3.1078,18.65,2.3887,50.27,0.000075
3,2.6243,30.10,2.0631,61.68,0.000000
